TP,FP,FN,TN,contactados,estudiantes_recuperados,ingreso_retenido,costo_operativo,beneficio_neto,roi,precision,recall,umbral
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2981
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3029
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3076
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3123
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.317
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3218
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3265
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3312
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.3359
291,155,131,1379,446,81.5,39394.77,8028.0,31366.77,3.907,0.6525,0.6896,0.3407
291,155,131,1379,446,81.5,39394.77,8028.0,31366.77,3.907,0.6525,0.6896,0.3454
289,154,133,1380,443,80.9,39124.01,7974.0,31150.01,3.906,0.6524,0.6848,0.3501
289,154,133,1380,443,80.9,39124.01,7974.0,31150.01,3.906,0.6524,0.6848,0.3548
288,154,134,1380,442,80.6,38988.63,7956.0,31032.63,3.901,0.6516,0.6825,0.3595
287,154,135,1380,441,80.4,38853.26,7938.0,30915.26,3.895,0.6508,0.6801,0.3643
286,154,136,1380,440,80.1,38717.88,7920.0,30797.88,3.889,0.65,0.6777,0.369
285,154,137,1380,439,79.8,38582.5,7902.0,30680.5,3.883,0.6492,0.6754,0.3737
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.3784
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.3832
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.3879
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.3926
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.3973
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.4021
279,150,143,1384,429,78.1,37770.24,7722.0,30048.24,3.891,0.6503,0.6611,0.4068
279,149,143,1385,428,78.1,37770.24,7704.0,30066.24,3.903,0.6519,0.6611,0.4115
279,149,143,1385,428,78.1,37770.24,7704.0,30066.24,3.903,0.6519,0.6611,0.4162
279,149,143,1385,428,78.1,37770.24,7704.0,30066.24,3.903,0.6519,0.6611,0.421
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4257
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4304
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4351
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4398
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4446
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4493
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.454
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4587
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4635
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4682
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4729
262,118,160,1416,380,73.4,35468.83,6840.0,28628.83,4.186,0.6895,0.6209,0.4776
219,77,203,1457,296,61.3,29647.61,5328.0,24319.61,4.564,0.7399,0.519,0.4824
219,76,203,1458,295,61.3,29647.61,5310.0,24337.61,4.583,0.7424,0.519,0.4871
218,75,204,1459,293,61.0,29512.23,5274.0,24238.23,4.596,0.744,0.5166,0.4918
218,75,204,1459,293,61.0,29512.23,5274.0,24238.23,4.596,0.744,0.5166,0.4965
218,74,204,1460,292,61.0,29512.23,5256.0,24256.23,4.615,0.7466,0.5166,0.5013
217,74,205,1460,291,60.8,29376.85,5238.0,24138.85,4.608,0.7457,0.5142,0.506
217,74,205,1460,291,60.8,29376.85,5238.0,24138.85,4.608,0.7457,0.5142,0.5107
217,74,205,1460,291,60.8,29376.85,5238.0,24138.85,4.608,0.7457,0.5142,0.5154
217,74,205,1460,291,60.8,29376.85,5238.0,24138.85,4.608,0.7457,0.5142,0.5202
217,74,205,1460,291,60.8,29376.85,5238.0,24138.85,4.608,0.7457,0.5142,0.5249
217,74,205,1460,291,60.8,29376.85,5238.0,24138.85,4.608,0.7457,0.5142,0.5296
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5343
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.539
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5438
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5485
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5532
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5579
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5627
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5674
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5721
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5768
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5816
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5863
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.591
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.5957
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.6005
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.6052
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.6099
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.6146
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.6193
217,73,205,1461,290,60.8,29376.85,5220.0,24156.85,4.628,0.7483,0.5142,0.6241
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6288
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6335
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6382
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.643
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6477
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6524
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6571
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6619
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6666
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6713
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.676
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6808
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6855
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6902
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6949
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.6996
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7044
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7091
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7138
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7185
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7233
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.728
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7327
142,33,280,1501,175,39.8,19223.56,3150.0,16073.56,5.103,0.8114,0.3365,0.7374
141,33,281,1501,174,39.5,19088.19,3132.0,15956.19,5.095,0.8103,0.3341,0.7422
141,32,281,1502,173,39.5,19088.19,3114.0,15974.19,5.13,0.815,0.3341,0.7469
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7516
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7563
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7611
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7658
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7705
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7752
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7799
140,32,282,1502,172,39.2,18952.81,3096.0,15856.81,5.122,0.814,0.3318,0.7847
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.7894
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.7941
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.7988
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8036
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8083
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.813
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8177
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8225
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8272
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8319
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8366
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8414
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8461
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8508
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8555
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8603
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.865
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8697
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8744
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8791
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8839
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8886
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.8933
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.898
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9028
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9075
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9122
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9169
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9217
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9264
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9311
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9358
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9406
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.9453
79,6,343,1528,85,22.1,10694.8,1530.0,9164.8,5.99,0.9294,0.1872,0.95
