EstudianteID,CohorteMes,TenureSemanas,Edad,CategoriaCurso,Modalidad,MetodoPago,HorasUsoSemana,PctTareasATiempo,PromedioNotas,ParticipacionForo,QuejasSoporte,DiasUltimaSesion,TieneBecaDescuento,CursosPreviosCompletados,Desercion,RatioForoTenure,HorasPorSemanaEfectivas,BrechaTareas,InicioReciente,SinComunidad,NotaBajoAprobatorio,NotaFaltante
555,2026-06,4,35.0,Diseño,Con mentor en vivo,Transferencia,1.7,10.5,7.1,3,0,4.0,1,0,0,0.75,1.0818181818181818,49.5,0,0,1,0
4508,2025-11,13,31.0,Idiomas,Autoestudio,Yape/Plin,1.6,62.8,13.2,2,0,5.0,0,3,0,0.15384615384615385,0.9333333333333333,-2.799999999999997,0,0,0,0
8164,2025-05,3,22.0,Marketing Digital,Autoestudio,Débito,4.1,88.9,17.8,2,0,3.0,0,0,0,0.6666666666666666,2.8699999999999997,-28.900000000000006,1,0,0,0
8378,2025-02,10,37.0,Idiomas,Autoestudio,Débito,2.2,52.5,8.6,1,1,5.0,0,0,0,0.1,1.2833333333333334,7.5,0,0,1,0
4126,2025-10,2,21.0,Finanzas,Autoestudio,Yape/Plin,0.4,17.9,9.9,0,0,15.0,0,1,1,0.0,0.1272727272727273,42.1,1,1,1,0
4335,2026-05,22,32.0,Idiomas,Con mentor en vivo,Tarjeta de crédito,1.5,36.7,9.4,2,1,4.0,1,0,1,0.09090909090909091,0.9545454545454546,23.299999999999997,0,0,1,0
1196,2025-12,12,28.0,Idiomas,Autoestudio,Débito,6.5,58.7,11.1,1,0,12.0,1,1,0,0.08333333333333333,2.394736842105263,1.2999999999999972,0,0,1,0
6052,2025-03,13,22.0,Idiomas,Autoestudio,Transferencia,2.1,17.3,,0,1,43.0,1,0,1,0.0,0.294,42.7,0,1,0,1
3820,2026-05,12,30.0,Programación,Autoestudio,Tarjeta de crédito,3.6,47.6,12.3,3,1,17.0,0,1,0,0.25,1.05,12.399999999999999,0,0,1,0
4642,2025-01,7,37.0,Marketing Digital,Con mentor en vivo,Débito,3.4,47.7,10.1,1,0,2.0,1,0,0,0.14285714285714285,2.644444444444445,12.299999999999997,0,0,1,0
3099,2025-04,15,19.0,Idiomas,Con mentor en vivo,Débito,1.7,76.8,16.1,2,1,1.0,0,1,0,0.13333333333333333,1.4875,-16.799999999999997,0,0,0,0
1609,2025-05,8,16.0,Idiomas,Con mentor en vivo,Transferencia,7.2,84.4,18.4,3,0,7.0,0,1,0,0.375,3.6,-24.400000000000006,0,0,0,0
1784,2026-06,18,19.0,Programación,Con mentor en vivo,Tarjeta de crédito,3.6,67.3,14.0,4,0,1.0,0,2,0,0.2222222222222222,3.1500000000000004,-7.299999999999997,0,0,0,0
8376,2025-03,19,26.0,Finanzas,Con mentor en vivo,Transferencia,1.4,82.9,13.6,2,0,0.0,0,1,0,0.10526315789473684,1.4,-22.900000000000006,0,0,0,0
8919,2026-01,4,28.0,Programación,Con mentor en vivo,Yape/Plin,5.1,78.3,13.3,3,0,2.0,0,2,0,0.75,3.966666666666667,-18.299999999999997,0,0,0,0
6770,2025-04,6,25.0,Marketing Digital,Autoestudio,Transferencia,4.5,55.7,10.6,2,0,3.0,1,1,0,0.3333333333333333,3.15,4.299999999999997,0,0,1,0
1833,2025-11,8,22.0,Programación,Autoestudio,Tarjeta de crédito,4.2,60.8,14.3,1,1,10.0,0,0,0,0.125,1.7294117647058822,-0.7999999999999972,0,0,0,0
319,2026-05,10,23.0,Idiomas,Autoestudio,Yape/Plin,5.6,20.3,7.5,3,1,9.0,1,0,1,0.3,2.45,39.7,0,0,1,0
7739,2026-01,6,26.0,Diseño,Autoestudio,Yape/Plin,1.4,84.6,15.8,1,0,6.0,0,3,0,0.16666666666666666,0.7538461538461537,-24.599999999999994,0,0,0,0
7385,2025-12,2,36.0,Idiomas,Con mentor en vivo,Débito,5.1,73.4,13.2,2,0,5.0,0,0,0,1.0,2.9749999999999996,-13.400000000000006,1,0,0,0
731,2026-02,5,30.0,Marketing Digital,Autoestudio,Yape/Plin,2.8,43.3,12.4,1,3,26.0,0,1,0,0.2,0.5939393939393939,16.700000000000003,0,0,1,0
8190,2025-04,27,44.0,Marketing Digital,Autoestudio,Tarjeta de crédito,0.8,78.8,14.6,2,2,3.0,1,2,0,0.07407407407407407,0.56,-18.799999999999997,0,0,0,0
593,2025-05,8,24.0,Idiomas,Con mentor en vivo,Transferencia,0.5,21.0,13.0,1,0,34.0,0,1,0,0.125,0.08536585365853659,39.0,0,0,0,0
8138,2026-05,9,28.0,Diseño,Autoestudio,Débito,2.6,30.4,8.1,4,1,1.0,0,0,0,0.4444444444444444,2.2750000000000004,29.6,0,0,1,0
7707,2026-04,24,18.0,Marketing Digital,Autoestudio,Tarjeta de crédito,5.5,41.8,11.2,0,0,1.0,0,0,0,0.0,4.8125,18.200000000000003,0,1,1,0
4451,2026-04,12,26.0,Finanzas,Autoestudio,Yape/Plin,6.1,53.7,11.4,2,0,3.0,0,1,0,0.16666666666666666,4.27,6.299999999999997,0,0,1,0
94,2025-07,6,25.0,Marketing Digital,Con mentor en vivo,Débito,4.8,77.1,16.5,1,0,5.0,0,1,0,0.16666666666666666,2.8,-17.099999999999994,0,0,0,0
81,2026-05,10,29.0,Marketing Digital,Autoestudio,Tarjeta de crédito,6.6,68.5,16.0,3,3,0.0,0,1,1,0.3,6.6,-8.5,0,0,0,0
6430,2025-03,2,23.0,Idiomas,Autoestudio,Tarjeta de crédito,0.8,21.9,7.1,2,0,13.0,0,1,1,1.0,0.28,38.1,1,0,1,0
4152,2025-10,16,42.0,Diseño,Autoestudio,Transferencia,5.8,47.8,12.6,2,0,15.0,1,0,0,0.125,1.8454545454545455,12.200000000000003,0,0,1,0
7654,2025-05,5,28.0,Finanzas,Autoestudio,Yape/Plin,5.6,63.4,11.5,4,0,6.0,0,1,0,0.8,3.015384615384615,-3.3999999999999986,0,0,1,0
8544,2025-09,37,16.0,Finanzas,Autoestudio,Débito,0.5,56.4,12.1,1,0,7.0,0,0,0,0.02702702702702703,0.25,3.6000000000000014,0,0,1,0
4968,2025-07,4,22.0,Idiomas,Con mentor en vivo,Yape/Plin,,91.8,15.1,4,0,1.0,0,0,0,1.0,,-31.799999999999997,0,0,0,0
3414,2025-02,21,30.0,Diseño,Con mentor en vivo,Yape/Plin,2.0,87.8,15.5,5,0,1.0,0,0,0,0.23809523809523808,1.75,-27.799999999999997,0,0,0,0
458,2025-12,5,16.0,Programación,Autoestudio,Transferencia,4.3,79.9,11.0,1,0,0.0,0,0,0,0.2,4.3,-19.900000000000006,0,0,1,0
7278,2026-03,10,37.0,Diseño,Autoestudio,Transferencia,4.7,84.9,12.9,2,1,5.0,1,1,0,0.2,2.7416666666666667,-24.900000000000006,0,0,1,0
3308,2025-03,3,25.0,Diseño,Autoestudio,Transferencia,6.6,46.9,11.7,1,0,0.0,0,0,0,0.3333333333333333,6.6,13.100000000000001,1,0,1,0
8879,2025-07,18,35.0,Diseño,Con mentor en vivo,Transferencia,2.9,54.0,11.2,0,0,2.0,0,2,0,0.0,2.2555555555555555,6.0,0,1,1,0
961,2025-03,5,16.0,Marketing Digital,Autoestudio,Yape/Plin,2.2,81.0,15.1,5,0,9.0,0,3,0,1.0,0.9625000000000001,-21.0,0,0,0,0
8589,2025-10,8,27.0,Diseño,Autoestudio,Yape/Plin,1.2,75.0,13.9,1,1,2.0,0,0,0,0.125,0.9333333333333333,-15.0,0,0,0,0
8785,2025-05,12,22.0,Marketing Digital,Con mentor en vivo,Tarjeta de crédito,11.4,61.5,11.0,3,0,1.0,0,1,0,0.25,9.975000000000001,-1.5,0,0,1,0
3046,2026-04,2,24.0,Diseño,Con mentor en vivo,Yape/Plin,1.5,75.9,12.0,1,1,9.0,1,0,0,0.5,0.65625,-15.900000000000006,1,0,1,0
3051,2026-04,4,28.0,Idiomas,Autoestudio,Débito,1.3,70.3,9.3,1,0,3.0,0,2,0,0.25,0.91,-10.299999999999997,0,0,1,0
2115,2026-02,11,22.0,Marketing Digital,Autoestudio,Yape/Plin,2.3,33.9,9.6,3,1,22.0,1,1,1,0.2727272727272727,0.5551724137931034,26.1,0,0,1,0
6973,2025-04,11,23.0,Idiomas,Autoestudio,Yape/Plin,7.1,43.8,13.1,4,0,5.0,0,1,0,0.36363636363636365,4.141666666666666,16.200000000000003,0,0,0,0
8747,2025-02,10,32.0,Finanzas,Con mentor en vivo,Débito,2.1,29.3,11.3,2,0,2.0,1,3,0,0.2,1.6333333333333335,30.7,0,0,1,0
1035,2025-02,8,16.0,Finanzas,Autoestudio,Tarjeta de crédito,1.2,81.0,13.4,5,1,4.0,0,0,0,0.625,0.7636363636363637,-21.0,0,0,0,0
5506,2026-04,38,29.0,Idiomas,Autoestudio,Transferencia,1.6,66.2,11.6,2,0,5.0,0,2,0,0.05263157894736842,0.9333333333333333,-6.200000000000003,0,0,1,0
748,2025-06,37,35.0,Idiomas,Autoestudio,Débito,4.9,26.1,9.5,0,3,8.0,0,0,1,0.0,2.286666666666667,33.9,0,1,1,0
8849,2025-07,13,23.0,Idiomas,Autoestudio,Transferencia,2.7,34.6,11.4,0,0,2.0,1,0,1,0.0,2.1000000000000005,25.4,0,1,1,0
8132,2026-03,9,29.0,Diseño,Con mentor en vivo,Yape/Plin,7.9,89.2,15.9,9,0,2.0,0,2,0,1.0,6.144444444444446,-29.200000000000003,0,0,0,0
734,2026-02,11,28.0,Idiomas,Autoestudio,Yape/Plin,1.1,72.4,13.2,1,0,0.0,1,1,0,0.09090909090909091,1.1,-12.400000000000006,0,0,0,0
6783,2025-08,17,37.0,Idiomas,Con mentor en vivo,Transferencia,1.9,39.3,7.8,2,0,11.0,0,0,0,0.11764705882352941,0.7388888888888889,20.700000000000003,0,0,1,0
1562,2025-05,15,32.0,Finanzas,Autoestudio,Yape/Plin,5.5,35.4,,1,0,30.0,0,0,0,0.06666666666666667,1.0405405405405406,24.6,0,0,0,1
5756,2025-08,1,34.0,Idiomas,Autoestudio,Tarjeta de crédito,1.1,75.8,16.2,2,0,4.0,0,1,0,2.0,0.7000000000000001,-15.799999999999997,1,0,0,0
3406,2025-07,3,34.0,Idiomas,Con mentor en vivo,Yape/Plin,3.7,85.7,16.0,5,2,5.0,0,0,0,1.6666666666666667,2.158333333333333,-25.700000000000003,1,0,0,0
6866,2026-06,7,29.0,Marketing Digital,Con mentor en vivo,Transferencia,11.6,70.7,12.9,2,0,1.0,0,0,0,0.2857142857142857,10.15,-10.700000000000003,0,0,1,0
316,2025-12,13,23.0,Marketing Digital,Autoestudio,Tarjeta de crédito,3.4,57.1,14.3,0,0,8.0,0,2,0,0.0,1.5866666666666667,2.8999999999999986,0,1,0,0
6134,2025-08,14,20.0,Programación,Autoestudio,Tarjeta de crédito,8.0,79.7,12.7,3,0,0.0,1,0,0,0.21428571428571427,8.0,-19.700000000000003,0,0,1,0
1484,2025-03,3,35.0,Marketing Digital,Autoestudio,Tarjeta de crédito,1.0,31.6,10.5,1,0,1.0,0,0,1,0.3333333333333333,0.875,28.4,1,0,1,0
1124,2025-05,5,20.0,Programación,Autoestudio,Débito,3.4,27.7,9.0,1,0,3.0,0,0,0,0.2,2.38,32.3,0,0,1,0
7882,2025-02,8,21.0,Programación,Autoestudio,Tarjeta de crédito,0.4,76.0,13.3,1,0,3.0,0,0,0,0.125,0.28,-16.0,0,0,0,0
8905,2025-11,7,48.0,Idiomas,Autoestudio,Yape/Plin,2.1,55.5,14.8,0,0,0.0,0,0,1,0.0,2.1,4.5,0,1,0,0
8219,2025-09,13,33.0,Idiomas,Autoestudio,Transferencia,1.7,43.1,13.2,2,1,8.0,1,0,0,0.15384615384615385,0.7933333333333333,16.9,0,0,0,0
1966,2026-02,1,40.0,Idiomas,Autoestudio,Yape/Plin,0.8,69.6,14.2,3,0,1.0,0,0,0,3.0,0.7000000000000001,-9.599999999999994,1,0,0,0
4355,2025-09,17,16.0,Programación,Con mentor en vivo,Débito,14.2,92.4,12.5,3,0,6.0,1,4,0,0.17647058823529413,7.646153846153846,-32.400000000000006,0,0,1,0
2134,2025-08,10,16.0,Finanzas,Autoestudio,Yape/Plin,2.2,7.9,,0,0,12.0,0,1,1,0.0,0.8105263157894738,52.1,0,1,0,1
7380,2025-07,8,19.0,Diseño,Autoestudio,Transferencia,2.4,70.9,15.3,3,0,2.0,0,1,0,0.375,1.8666666666666667,-10.900000000000006,0,0,0,0
1176,2025-07,15,25.0,Programación,Con mentor en vivo,Tarjeta de crédito,0.5,48.9,12.3,3,1,5.0,0,0,0,0.2,0.29166666666666663,11.100000000000001,0,0,1,0
2544,2025-07,4,26.0,Diseño,Con mentor en vivo,Tarjeta de crédito,2.0,32.1,,2,0,7.0,0,1,0,0.5,1.0,27.9,0,0,0,1
1088,2026-06,10,37.0,Programación,Con mentor en vivo,Transferencia,2.6,90.6,18.1,5,0,1.0,0,2,0,0.5,2.2750000000000004,-30.599999999999994,0,0,0,0
8774,2025-06,13,38.0,Finanzas,Con mentor en vivo,Débito,2.4,32.4,9.6,2,0,13.0,0,0,0,0.15384615384615385,0.84,27.6,0,0,1,0
6224,2025-05,3,29.0,Idiomas,Autoestudio,Yape/Plin,8.7,84.9,13.4,3,1,3.0,0,1,0,1.0,6.089999999999999,-24.900000000000006,1,0,0,0
624,2025-08,10,33.0,Programación,Con mentor en vivo,Yape/Plin,9.3,68.5,15.0,1,0,0.0,0,0,0,0.1,9.3,-8.5,0,0,0,0
6128,2026-04,21,20.0,Finanzas,Autoestudio,Transferencia,5.8,63.3,10.8,2,0,16.0,0,1,0,0.09523809523809523,1.7652173913043478,-3.299999999999997,0,0,1,0
5749,2026-05,5,28.0,Diseño,Con mentor en vivo,Tarjeta de crédito,1.1,54.7,12.4,3,0,2.0,1,1,0,0.6,0.8555555555555557,5.299999999999997,0,0,1,0
5675,2025-09,6,32.0,Programación,Autoestudio,Débito,9.1,20.8,12.7,4,2,15.0,0,2,1,0.6666666666666666,2.8954545454545455,39.2,0,0,1,0
5437,2025-08,7,24.0,Diseño,Con mentor en vivo,Tarjeta de crédito,0.5,54.6,12.6,1,0,12.0,1,0,1,0.14285714285714285,0.18421052631578946,5.399999999999999,0,0,1,0
1651,2025-04,10,33.0,Idiomas,Con mentor en vivo,Yape/Plin,2.4,67.9,11.6,2,0,7.0,0,0,0,0.2,1.2,-7.900000000000006,0,0,1,0
2509,2025-08,7,21.0,Diseño,Con mentor en vivo,Yape/Plin,2.7,33.2,10.1,2,0,9.0,0,0,0,0.2857142857142857,1.1812500000000001,26.799999999999997,0,0,1,0
7553,2025-09,6,22.0,Diseño,Con mentor en vivo,Yape/Plin,4.3,67.5,14.4,4,0,14.0,0,0,0,0.6666666666666666,1.4333333333333333,-7.5,0,0,0,0
6954,2026-03,12,26.0,Diseño,Con mentor en vivo,Débito,4.4,87.8,17.2,1,0,2.0,0,1,0,0.08333333333333333,3.422222222222223,-27.799999999999997,0,0,0,0
2252,2025-10,21,28.0,Idiomas,Autoestudio,Tarjeta de crédito,8.8,73.6,13.3,6,0,1.0,0,0,0,0.2857142857142857,7.700000000000001,-13.599999999999994,0,0,0,0
8830,2025-05,14,23.0,Finanzas,Autoestudio,Débito,3.1,22.7,7.0,3,0,5.0,1,0,0,0.21428571428571427,1.8083333333333333,37.3,0,0,1,0
4305,2026-01,4,17.0,Marketing Digital,Con mentor en vivo,Yape/Plin,2.9,79.1,13.0,7,0,6.0,0,0,0,1.75,1.5615384615384615,-19.099999999999994,0,0,0,0
3718,2025-05,34,21.0,Programación,Autoestudio,Tarjeta de crédito,1.5,29.9,6.9,1,0,8.0,0,0,1,0.029411764705882353,0.7000000000000001,30.1,0,0,1,0
4170,2026-01,16,21.0,Finanzas,Autoestudio,Tarjeta de crédito,4.8,75.5,13.5,3,0,0.0,0,1,0,0.1875,4.8,-15.5,0,0,0,0
7497,2026-02,4,35.0,Marketing Digital,Autoestudio,Tarjeta de crédito,1.0,16.6,8.1,1,1,8.0,0,0,0,0.25,0.4666666666666667,43.4,0,0,1,0
7158,2026-02,16,30.0,Diseño,Autoestudio,Débito,5.3,66.3,16.7,1,0,1.0,0,3,0,0.0625,4.6375,-6.299999999999997,0,0,0,0
2573,2026-02,7,44.0,Idiomas,Con mentor en vivo,Yape/Plin,3.8,36.4,10.5,4,0,1.0,1,1,1,0.5714285714285714,3.325,23.6,0,0,1,0
89,2026-02,2,27.0,Idiomas,Con mentor en vivo,Débito,1.0,19.9,7.0,2,0,1.0,0,1,1,1.0,0.875,40.1,1,0,1,0
2076,2025-08,6,29.0,Programación,Con mentor en vivo,Yape/Plin,5.9,69.2,12.5,3,0,8.0,0,3,0,0.5,2.7533333333333334,-9.200000000000003,0,0,1,0
7177,2026-02,17,20.0,Marketing Digital,Autoestudio,Transferencia,2.6,19.3,7.8,4,0,19.0,0,0,1,0.23529411764705882,0.7,40.7,0,0,1,0
4310,2025-11,23,24.0,Programación,Autoestudio,Tarjeta de crédito,2.0,44.2,13.7,3,1,11.0,0,0,1,0.13043478260869565,0.7777777777777779,15.799999999999997,0,0,0,0
448,2026-06,7,19.0,Programación,Autoestudio,Yape/Plin,3.8,27.9,12.7,0,0,1.0,0,0,0,0.0,3.325,32.1,0,1,1,0
7457,2025-11,9,21.0,Diseño,Autoestudio,Débito,5.6,56.5,11.4,3,0,5.0,0,1,0,0.3333333333333333,3.266666666666666,3.5,0,0,1,0
6790,2026-02,6,26.0,Finanzas,Autoestudio,Yape/Plin,12.2,60.9,13.6,3,0,1.0,0,1,0,0.5,10.675,-0.8999999999999986,0,0,0,0
4281,2025-09,12,16.0,Idiomas,Con mentor en vivo,Tarjeta de crédito,3.4,85.8,16.7,3,1,0.0,0,0,0,0.25,3.4,-25.799999999999997,0,0,0,0
5642,2025-06,10,22.0,Finanzas,Autoestudio,Yape/Plin,4.9,38.6,11.3,1,2,3.0,1,0,1,0.1,3.43,21.4,0,0,1,0
8186,2026-04,8,35.0,Idiomas,Autoestudio,Yape/Plin,4.5,50.4,10.5,0,0,11.0,0,0,0,0.0,1.7500000000000002,9.600000000000001,0,1,1,0
6682,2025-07,1,28.0,Idiomas,Autoestudio,Tarjeta de crédito,4.4,28.9,9.2,1,1,3.0,0,0,1,1.0,3.08,31.1,1,0,1,0
6910,2026-06,5,30.0,Finanzas,Autoestudio,Yape/Plin,2.0,63.8,13.2,3,0,9.0,0,0,1,0.6,0.875,-3.799999999999997,0,0,0,0
6895,2026-01,8,40.0,Idiomas,Autoestudio,Tarjeta de crédito,1.5,38.2,9.4,6,1,0.0,0,1,1,0.75,1.5,21.799999999999997,0,0,1,0
1019,2025-01,14,37.0,Programación,Autoestudio,Tarjeta de crédito,1.7,40.8,8.6,2,0,2.0,1,1,0,0.14285714285714285,1.3222222222222224,19.200000000000003,0,0,1,0
4375,2025-06,3,24.0,Programación,Autoestudio,Transferencia,1.3,37.5,10.1,1,0,1.0,1,0,1,0.3333333333333333,1.1375000000000002,22.5,1,0,1,0
1719,2025-08,8,30.0,Programación,Autoestudio,Yape/Plin,4.4,80.0,16.2,1,0,0.0,0,2,0,0.125,4.4,-20.0,0,0,0,0
6390,2025-12,8,16.0,Marketing Digital,Autoestudio,Débito,1.2,81.3,14.6,2,1,1.0,0,2,0,0.25,1.05,-21.299999999999997,0,0,0,0
2037,2025-11,17,26.0,Idiomas,Autoestudio,Débito,0.4,47.8,9.1,2,0,20.0,1,0,0,0.11764705882352941,0.10370370370370371,12.200000000000003,0,0,1,0
8987,2026-02,9,30.0,Diseño,Autoestudio,Transferencia,5.2,37.1,10.5,2,1,8.0,1,1,0,0.2222222222222222,2.4266666666666667,22.9,0,0,1,0
6136,2025-04,6,24.0,Idiomas,Autoestudio,Tarjeta de crédito,0.7,73.2,11.2,7,0,1.0,0,0,0,1.1666666666666667,0.6125,-13.200000000000003,0,0,1,0
2651,2026-04,13,31.0,Idiomas,Con mentor en vivo,Débito,0.6,25.0,9.1,2,1,2.0,1,0,1,0.15384615384615385,0.4666666666666667,35.0,0,0,1,0
7898,2026-04,8,27.0,Idiomas,Con mentor en vivo,Débito,2.2,74.6,16.2,2,0,5.0,1,2,0,0.25,1.2833333333333334,-14.599999999999994,0,0,0,0
7366,2025-08,1,21.0,Marketing Digital,Autoestudio,Yape/Plin,1.4,69.0,13.0,0,0,7.0,0,0,1,0.0,0.7,-9.0,1,1,0,0
3740,2026-03,7,32.0,Marketing Digital,Autoestudio,Yape/Plin,1.1,37.1,13.0,1,1,14.0,0,1,0,0.14285714285714285,0.3666666666666667,22.9,0,0,0,0
7106,2025-07,8,30.0,Programación,Con mentor en vivo,Tarjeta de crédito,3.5,94.9,15.2,3,0,1.0,1,1,0,0.375,3.0625,-34.900000000000006,0,0,0,0
3707,2025-03,7,19.0,Diseño,Con mentor en vivo,Débito,2.2,63.1,12.9,3,0,7.0,0,1,0,0.42857142857142855,1.1,-3.1000000000000014,0,0,1,0
8025,2025-04,12,16.0,Finanzas,Autoestudio,Tarjeta de crédito,0.4,12.4,7.4,0,0,4.0,0,0,1,0.0,0.2545454545454546,47.6,0,1,1,0
170,2025-01,11,28.0,Marketing Digital,Con mentor en vivo,Débito,5.0,94.3,15.7,1,0,2.0,1,1,0,0.09090909090909091,3.8888888888888893,-34.3,0,0,0,0
6811,2026-03,12,17.0,Diseño,Autoestudio,Yape/Plin,2.7,81.5,14.1,2,0,1.0,0,0,0,0.16666666666666666,2.3625000000000003,-21.5,0,0,0,0
4236,2025-01,5,37.0,Diseño,Autoestudio,Tarjeta de crédito,0.6,36.7,10.5,1,0,3.0,0,0,0,0.2,0.42,23.299999999999997,0,0,1,0
77,2025-06,8,39.0,Marketing Digital,Autoestudio,Transferencia,1.8,62.1,13.1,0,0,1.0,0,2,0,0.0,1.5750000000000002,-2.1000000000000014,0,1,0,0
7818,2025-10,18,28.0,Programación,Autoestudio,Débito,1.2,36.9,11.3,0,0,6.0,0,1,0,0.0,0.6461538461538461,23.1,0,1,1,0
3291,2025-08,8,29.0,Idiomas,Con mentor en vivo,Yape/Plin,0.9,90.8,14.5,2,0,3.0,0,0,0,0.25,0.63,-30.799999999999997,0,0,0,0
2454,2025-09,5,36.0,Programación,Autoestudio,Yape/Plin,5.3,74.1,14.3,2,0,4.0,0,1,0,0.4,3.3727272727272726,-14.099999999999994,0,0,0,0
3039,2025-06,7,20.0,Programación,Con mentor en vivo,Yape/Plin,1.8,69.1,14.3,0,1,10.0,1,1,0,0.0,0.7411764705882352,-9.099999999999994,0,1,0,0
1510,2026-01,33,25.0,Idiomas,Autoestudio,Débito,1.5,29.0,9.2,2,0,2.0,0,0,0,0.06060606060606061,1.1666666666666667,31.0,0,0,1,0
3378,2025-11,4,34.0,Idiomas,Con mentor en vivo,Tarjeta de crédito,10.2,76.8,16.4,2,0,2.0,0,1,0,0.5,7.933333333333334,-16.799999999999997,0,0,0,0
669,2026-05,7,25.0,Programación,Autoestudio,Débito,7.1,64.0,12.5,2,1,7.0,0,1,0,0.2857142857142857,3.55,-4.0,0,0,1,0
2684,2026-03,5,29.0,Finanzas,Autoestudio,Yape/Plin,7.9,40.9,10.7,2,0,1.0,1,0,0,0.4,6.9125000000000005,19.1,0,0,1,0
4568,2026-01,6,16.0,Programación,Autoestudio,Tarjeta de crédito,2.1,80.8,12.3,2,0,1.0,1,2,0,0.3333333333333333,1.8375000000000001,-20.799999999999997,0,0,1,0
5317,2025-10,7,18.0,Marketing Digital,Autoestudio,Yape/Plin,4.1,48.9,13.5,3,0,12.0,1,2,0,0.42857142857142855,1.5105263157894735,11.100000000000001,0,0,0,0
2645,2025-09,16,28.0,Programación,Autoestudio,Tarjeta de crédito,1.4,42.9,10.3,1,1,22.0,0,1,0,0.0625,0.33793103448275863,17.1,0,0,1,0
4732,2026-01,14,27.0,Idiomas,Con mentor en vivo,Tarjeta de crédito,16.1,76.4,12.3,4,0,1.0,0,0,0,0.2857142857142857,14.087500000000002,-16.400000000000006,0,0,1,0
3862,2025-12,4,22.0,Idiomas,Con mentor en vivo,Tarjeta de crédito,,36.9,11.2,0,1,6.0,1,2,0,0.0,,23.1,0,1,1,0
2755,2026-06,6,24.0,Diseño,Autoestudio,Tarjeta de crédito,7.4,63.1,13.1,1,1,2.0,0,0,0,0.16666666666666666,5.755555555555556,-3.1000000000000014,0,0,0,0
5981,2025-11,6,29.0,Marketing Digital,Autoestudio,Yape/Plin,4.9,91.1,13.5,6,1,5.0,0,2,0,1.0,2.8583333333333334,-31.099999999999994,0,0,0,0
7580,2026-01,2,21.0,Marketing Digital,Con mentor en vivo,Transferencia,2.3,81.1,15.4,2,1,11.0,0,2,0,1.0,0.8944444444444445,-21.099999999999994,1,0,0,0
2437,2025-12,5,33.0,Finanzas,Autoestudio,Débito,2.2,82.8,16.3,4,0,2.0,0,0,0,0.8,1.7111111111111115,-22.799999999999997,0,0,0,0
